,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE,SSIM
373,0.0,0.0406,0.9468,0.0344,0.038,5.2808,8.1306,1.5961,3.1424,0.9175
376,0.0,0.0397,0.9858,0.0444,0.0426,5.2581,7.9619,1.6382,3.172,0.9133
381,0.0,0.0452,1.1218,0.0304,0.0309,5.8661,8.7996,1.8037,3.5468,0.9117
391,0.0,0.048,1.1783,0.0405,0.0322,5.894,8.9887,1.7819,3.3666,0.9165
392,0.0,0.0477,1.1768,0.0401,0.0259,5.824,8.8869,1.7718,3.3515,0.9143
397,0.0,0.0501,1.1572,0.0286,0.0284,6.0921,9.4256,1.7626,3.2777,0.9158
401,0.0,0.053,1.2078,0.0303,0.0313,6.4214,9.6188,1.828,3.4553,0.9134
411,0.0007,0.0506,1.1371,0.0284,0.03,6.0487,9.1455,1.6626,2.9114,0.9368
418,0.0007,0.0524,1.1032,0.0365,0.0334,6.1298,9.3143,1.5891,2.7079,0.9405
425,0.0008,0.0554,1.0849,0.0282,0.0295,6.4032,9.549,1.5232,2.6281,0.9383
427,0.0008,0.0506,0.9478,0.0639,0.0716,5.9211,8.5992,1.38,2.3655,0.9386
432,0.0,0.048,0.9511,0.0451,0.0578,5.6962,7.9451,1.364,2.3517,0.9392
436,0.0007,0.0483,0.8897,0.0275,0.0336,5.8009,7.8154,1.2861,2.2673,0.9417
439,0.0007,0.0493,0.8977,0.0354,0.0385,5.9119,8.1251,1.2932,2.2137,0.9404
445,0.0018,0.0514,0.8518,0.035,0.0342,6.1286,8.6387,1.2433,2.105,0.9361
453,0.0011,0.0512,0.8048,0.0594,0.0602,6.1105,8.4121,1.1812,2.018,0.9495
456,0.0011,0.052,0.8287,0.0458,0.0518,6.2013,8.6654,1.1977,2.0214,0.9482
458,0.0011,0.0525,0.7354,0.0395,0.0259,6.1774,8.5611,1.1113,1.9265,0.9488
464,0.0011,0.0533,0.939,0.0536,0.0484,6.4279,8.7079,1.2851,2.0594,0.9478
465,0.0011,0.0533,0.9244,0.0556,0.046,6.3716,8.5473,1.2532,2.0909,0.9479
466,0.0011,0.0542,0.9179,0.055,0.0437,6.4906,8.8017,1.2384,2.0745,0.9489
472,0.0011,0.0504,0.7557,0.0844,0.0856,6.212,7.811,1.1715,2.0008,0.9611
477,0.0013,0.0461,0.878,0.056,0.0691,5.7092,6.5983,1.2844,2.042,0.9613
479,0.0013,0.0467,0.8725,0.0547,0.0667,5.763,6.6404,1.2717,2.0028,0.9612
497,0.001,0.0457,0.8519,0.0423,0.0295,5.5864,6.6079,1.2254,2.0779,0.9516
