,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE
87,0.0,0.074,0.5798,0.0736,0.0686,15.2672,19.8602,1.6812,1.8633
88,0.0,0.0729,0.5653,0.0796,0.0612,14.7119,19.0641,1.6392,1.8276
89,0.0,0.0736,0.5668,0.0731,0.0662,15.2047,19.1181,1.6586,1.7783
90,0.0,0.0746,0.5498,0.0641,0.0625,15.3626,19.2701,1.6424,1.6985
91,0.0,0.0766,0.527,0.0804,0.0674,15.5143,18.9862,1.6574,1.4876
92,0.0,0.0753,0.5354,0.0858,0.0619,15.2609,18.374,1.6545,1.4388
93,0.0,0.0765,0.5426,0.0641,0.0597,16.074,19.8857,1.7324,1.3835
94,0.0,0.0794,0.521,0.0643,0.048,16.1505,19.7303,1.5907,1.3311
95,0.0,0.0788,0.5068,0.0692,0.0465,15.9961,19.5717,1.5707,1.3196
96,0.0,0.0781,0.4811,0.0696,0.0519,15.772,19.5243,1.5116,1.279
97,0.0,0.0768,0.4727,0.0667,0.0481,15.3975,19.0341,1.46,1.2177
98,0.0007,0.0806,0.4983,0.0587,0.0434,16.5711,20.6366,1.5656,1.4413
99,0.0007,0.0796,0.4619,0.0729,0.055,16.2575,20.2327,1.4957,1.3906
100,0.0008,0.0786,0.498,0.0692,0.0603,16.3411,19.6878,1.4751,1.3769
101,0.0008,0.0794,0.4543,0.0726,0.0578,16.3972,19.3776,1.4346,1.3658
102,0.0,0.0791,0.4305,0.0673,0.0584,16.3276,19.283,1.4338,1.3504
103,0.0007,0.0733,0.4912,0.086,0.0796,15.1798,17.5448,1.3787,1.3804
104,0.0007,0.0753,0.4391,0.0863,0.0803,15.4562,17.8901,1.315,1.3609
105,0.0025,0.0737,0.4388,0.0794,0.0732,15.0816,18.2908,1.2654,1.4464
106,0.0033,0.0772,0.4912,0.0598,0.0455,15.3998,17.6862,1.3106,1.5208
107,0.0026,0.0763,0.4817,0.0652,0.0475,15.0776,17.4723,1.2475,1.4916
108,0.004,0.0768,0.4752,0.0706,0.0515,15.0636,17.5626,1.2326,1.4778
109,0.0027,0.0741,0.4814,0.0784,0.0563,14.6649,17.3477,1.2623,1.4296
110,0.0023,0.0745,0.4878,0.0734,0.0482,14.7355,17.2411,1.2524,1.3994
111,0.0023,0.0729,0.4824,0.077,0.0541,14.3775,16.7803,1.2301,1.3746
112,0.0046,0.0731,0.5099,0.0752,0.0504,14.5154,16.4267,1.2606,1.429
113,0.006,0.0764,0.5203,0.0745,0.0617,15.2512,16.7769,1.3196,1.5048
114,0.0052,0.0756,0.5014,0.0769,0.0609,14.9895,16.3393,1.304,1.4914
115,0.0059,0.0651,0.3899,0.0805,0.0742,12.3975,13.0804,1.1753,1.1224
116,0.0099,0.0618,0.4383,0.0886,0.0877,11.9646,12.2286,1.2108,1.2419
117,0.001,0.0696,0.4676,0.0963,0.0946,13.5991,13.0724,1.2021,1.2356
118,0.0,0.0636,0.4032,0.1012,0.1117,11.6454,11.2003,1.1191,1.067
119,0.0,0.0624,0.3496,0.073,0.1875,11.3869,13.3514,1.1891,1.1432
120,0.0,0.0698,0.3075,0.1343,0.1223,13.2047,14.3306,1.1087,0.8009
121,0.0026,0.0789,0.3435,0.0636,0.0533,16.2209,19.4612,1.2513,0.756
122,0.0,0.0713,0.2759,0.133,0.1007,13.2593,16.9886,1.0099,0.5366
123,0.0,0.0735,0.2592,0.1157,0.1121,14.0344,17.4175,1.0176,0.4466
124,0.0,0.0745,0.2928,0.1261,0.0617,14.1216,19.5501,1.0034,0.4244
125,0.0,0.0786,0.2927,0.0994,0.1021,15.4892,21.974,1.1412,0.4463
126,0.0,0.0799,0.3822,0.083,0.1005,15.6318,21.6612,1.2518,0.7139
127,0.0,0.0788,0.2,0.1662,0.0808,14.5994,21.1464,1.0282,0.3507
128,0.0013,0.0752,0.2688,0.1725,0.1567,14.1595,21.7741,1.1809,0.4023
129,0.004,0.0761,0.2667,0.1358,0.1151,14.5068,21.8038,1.1561,0.3686
130,0.004,0.0691,0.2508,0.1544,0.1537,12.8413,20.6123,0.987,0.2923
131,0.0015,0.0859,0.2767,0.1247,0.0612,16.1817,23.951,1.217,0.1829
132,0.0042,0.0851,0.1849,0.127,0.1144,15.3952,22.602,0.8933,0.2242
133,0.017,0.0724,0.1401,0.1382,0.0829,12.9031,18.1235,0.6307,0.2331
134,0.0174,0.0722,0.1477,0.158,0.0842,12.7336,17.6879,0.6092,0.2459
135,0.0152,0.0734,0.1387,0.1582,0.0709,13.3366,19.6879,0.6066,0.2383
136,0.0048,0.0723,0.1581,0.1187,0.0846,12.8057,16.4386,0.3946,0.2068
137,0.011,0.0674,0.1619,0.1525,0.0451,11.5261,14.9976,0.3284,0.2212
138,0.0333,0.0534,0.0834,0.2036,0.0679,8.6004,13.4591,0.1979,0.2551
139,0.0238,0.0527,0.0767,0.2181,0.0638,8.3177,13.1367,0.1828,0.2446
140,0.0357,0.0305,0.0939,0.1879,0.068,5.0054,9.0537,0.0834,0.2217
