,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE,SSIM
642,0.0211,0.0297,0.3024,0.1181,0.1161,3.6419,5.6387,0.8249,0.7294,0.9766
647,0.0046,0.03,0.2741,0.0865,0.0713,3.738,5.0069,0.5874,0.5263,0.9598
676,0.0146,0.031,0.184,0.0563,0.0695,3.4598,4.3774,0.3937,0.3851,0.9715
701,0.0374,0.0294,0.2082,0.0763,0.1003,3.4692,4.1976,0.3187,0.4655,0.9711
702,0.0278,0.0284,0.1982,0.0952,0.1081,3.3261,3.8338,0.2939,0.448,0.9717
706,0.072,0.0271,0.2005,0.1101,0.0742,3.0745,3.4759,0.2768,0.4641,0.975
718,0.0096,0.0309,0.2618,0.0688,0.1012,3.6823,4.0815,0.282,0.424,0.9786
722,0.0055,0.0305,0.2449,0.1155,0.1069,3.3937,4.026,0.2619,0.398,0.9781
735,0.0889,0.0249,0.1233,0.1046,0.1339,2.9295,3.9009,0.1476,0.333,0.9764
736,0.0952,0.0265,0.1281,0.127,0.1471,3.0984,3.7811,0.1479,0.3265,0.9778
743,0.1071,0.0252,0.1168,0.0536,0.1738,3.9318,5.9704,0.0921,0.2753,0.9711
