,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE,SSIM
391,0.0015,0.0292,0.945,0.0539,0.1867,4.0666,5.9341,1.8673,2.7861,0.9538
392,0.0,0.0315,1.0854,0.0694,0.2573,4.2336,6.3741,1.9342,3.1535,0.9508
397,0.0,0.0352,1.1247,0.0789,0.2658,4.5874,6.9283,1.9806,3.4539,0.9459
401,0.0,0.0345,1.1851,0.081,0.2468,4.5129,7.0597,1.899,3.0164,0.9494
411,0.0015,0.0337,1.0464,0.0659,0.2026,4.3834,6.389,1.5706,2.4099,0.9396
418,0.0007,0.0352,1.0926,0.0664,0.2119,4.4075,5.9667,1.4853,2.4579,0.9394
425,0.0008,0.0321,0.9823,0.0617,0.2186,4.1275,5.8404,1.5218,2.5021,0.9376
427,0.0008,0.0324,1.0126,0.065,0.2194,4.1691,5.8947,1.5744,2.2355,0.9425
432,0.0,0.0314,0.7607,0.0372,0.1247,4.0679,5.5142,1.2459,1.8726,0.945
436,0.0007,0.04,0.9705,0.0764,0.2551,5.2909,7.2932,1.5369,2.5548,0.9399
439,0.0007,0.0349,0.945,0.0658,0.2461,4.7324,6.4875,1.6685,2.5221,0.9383
445,0.0032,0.0368,0.8419,0.065,0.2574,4.9459,6.6414,1.7224,2.6153,0.944
453,0.0029,0.036,0.8612,0.0396,0.1678,4.8791,6.2528,1.4013,2.0842,0.95
456,0.0029,0.037,0.8668,0.0517,0.1698,4.9596,6.5948,1.3709,2.0338,0.9457
458,0.0022,0.035,0.8458,0.0498,0.1439,4.7303,6.1855,1.5095,2.2462,0.9312
464,0.0027,0.0344,0.7616,0.0446,0.1637,4.7774,6.1058,1.2767,1.9456,0.9441
465,0.003,0.0335,0.7451,0.0521,0.1428,4.6577,6.1479,1.3088,1.8215,0.9382
466,0.0038,0.0349,0.7231,0.0587,0.1932,4.8047,6.1074,1.2893,1.9118,0.9375
472,0.0027,0.0329,0.7356,0.0734,0.2327,4.601,5.7027,1.2992,1.9274,0.9388
477,0.0022,0.0311,0.7428,0.0523,0.165,4.1689,4.7592,1.3773,1.8512,0.9563
